answerid;gender;age;country;region
933;m;<18;DE;BW
934;m;<18;DE;BW
939;m;<18;DE;BW
941;m;<18;DE;BW
987;m;<18;DE;BW
998;m;<18;DE;BW
933;m;18-23;DE;HE
934;m;18-23;DE;HE
937;m;18-23;DE;HE
941;m;18-23;DE;HE
989;m;18-23;DE;HE
998;m;18-23;DE;HE
933;m;18-23;DE;NI
934;m;18-23;DE;NI
937;m;18-23;DE;NI
939;m;18-23;DE;NI
941;m;18-23;DE;NI
989;m;18-23;DE;NI
998;m;18-23;DE;NI
933;m;18-23;DE;HE
934;m;18-23;DE;HE
937;m;18-23;DE;HE
941;m;18-23;DE;HE
987;m;18-23;DE;HE
989;m;18-23;DE;HE
998;m;18-23;DE;HE
933;m;24-29;DE;NW
934;m;24-29;DE;NW
937;m;24-29;DE;NW
998;m;24-29;DE;NW
933;m;18-23;DE;NI
934;m;18-23;DE;NI
936;m;18-23;DE;NI
937;m;18-23;DE;NI
939;m;18-23;DE;NI
941;m;18-23;DE;NI
987;m;18-23;DE;NI
989;m;18-23;DE;NI
998;m;18-23;DE;NI
933;m;24-29;other;other
934;m;24-29;other;other
936;m;24-29;other;other
937;m;24-29;other;other
939;m;24-29;other;other
987;m;24-29;other;other
989;m;24-29;other;other
998;m;24-29;other;other
933;m;18-23;DE;BY
934;m;18-23;DE;BY
937;m;18-23;DE;BY
941;m;18-23;DE;BY
989;m;18-23;DE;BY
998;m;18-23;DE;BY
933;m;18-23;DE;NW
934;m;18-23;DE;NW
936;m;18-23;DE;NW
939;m;18-23;DE;NW
941;m;18-23;DE;NW
987;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;24-29;DE;NW
934;m;24-29;DE;NW
936;m;24-29;DE;NW
937;m;24-29;DE;NW
939;m;24-29;DE;NW
941;m;24-29;DE;NW
987;m;24-29;DE;NW
989;m;24-29;DE;NW
998;m;24-29;DE;NW
933;m;24-29;DE;BB
934;m;24-29;DE;BB
937;m;24-29;DE;BB
939;m;24-29;DE;BB
941;m;24-29;DE;BB
987;m;24-29;DE;BB
989;m;24-29;DE;BB
998;m;24-29;DE;BB
936;m;18-23;DE;BW
937;m;18-23;DE;BW
939;m;18-23;DE;BW
998;m;18-23;DE;BW
933;m;18-23;DE;SH
937;m;18-23;DE;SH
939;m;18-23;DE;SH
941;m;18-23;DE;SH
998;m;24-29;DE;SH
933;m;24-29;DE;NW
934;m;24-29;DE;NW
941;m;24-29;DE;NW
933;w;18-23;DE;BE
934;w;18-23;DE;BE
936;w;18-23;DE;BE
937;w;18-23;DE;BE
987;w;18-23;DE;BE
989;w;18-23;DE;BE
998;w;18-23;DE;BE
934;m;18-23;DE;HB
937;m;18-23;DE;HB
939;m;18-23;DE;HB
941;m;18-23;DE;HB
987;m;18-23;DE;HB
998;m;18-23;DE;HB
933;m;18-23;DE;NW
934;m;18-23;DE;NW
937;m;18-23;DE;NW
941;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;24-29;DE;BW
934;m;24-29;DE;BW
936;m;24-29;DE;BW
937;m;24-29;DE;BW
989;m;24-29;DE;BW
998;m;24-29;DE;BW
934;m;18-23;DE;HE
936;m;18-23;DE;HE
937;m;18-23;DE;HE
989;m;18-23;DE;HE
936;m;24-29;DE;NW
937;m;24-29;DE;NW
989;m;24-29;DE;NW
998;m;24-29;DE;NW
937;m;18-23;DE;BW
989;m;18-23;DE;BW
933;m;18-23;DE;SH
933;m;18-23;DE;BB
934;m;18-23;DE;BB
937;m;18-23;DE;BB
941;m;18-23;DE;BB
989;m;18-23;DE;BB
998;m;18-23;DE;BB
933;m;18-23;DE;NW
934;m;18-23;DE;NW
936;m;18-23;DE;NW
937;m;18-23;DE;NW
941;m;18-23;DE;NW
987;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;18-23;DE;SL
934;m;18-23;DE;SL
937;m;18-23;DE;SL
939;m;18-23;DE;SL
941;m;18-23;DE;SL
989;m;18-23;DE;SL
934;m;18-23;DE;BW
937;m;18-23;DE;BW
939;m;18-23;DE;BW
941;m;18-23;DE;BW
989;m;18-23;DE;BW
998;m;18-23;DE;BW
933;m;18-23;DE;NI
934;m;18-23;DE;NI
933;m;18-23;DE;RP
937;m;18-23;DE;RP
941;m;18-23;DE;RP
989;m;18-23;DE;RP
998;m;18-23;DE;RP
933;m;18-23;DE;ST
934;m;18-23;DE;ST
987;m;18-23;DE;ST
933;m;18-23;DE;NI
937;m;18-23;DE;NI
987;m;18-23;DE;NI
989;m;18-23;DE;NI
998;m;18-23;DE;NI
933;m;18-23;DE;BE
934;m;18-23;DE;BE
937;m;18-23;DE;BE
939;m;18-23;DE;BE
941;m;18-23;DE;BE
987;m;18-23;DE;BE
989;m;18-23;DE;BE
998;m;18-23;DE;BE
933;m;18-23;DE;SH
934;m;18-23;DE;SH
937;m;18-23;DE;SH
941;m;18-23;DE;SH
989;m;18-23;DE;SH
998;m;18-23;DE;SH
933;m;18-23;DE;SH
937;m;18-23;DE;SH
987;m;18-23;DE;SH
989;m;18-23;DE;SH
998;m;18-23;DE;SH
933;m;18-23;DE;RP
934;m;18-23;DE;RP
936;m;18-23;DE;RP
937;m;18-23;DE;RP
989;m;18-23;DE;RP
998;m;18-23;DE;RP
937;m;24-29;DE;SH
941;m;24-29;DE;SH
987;m;24-29;DE;SH
989;m;24-29;DE;SH
998;m;24-29;DE;SH
933;m;18-23;DE;BW
934;m;18-23;DE;BW
939;m;18-23;DE;BW
987;m;18-23;DE;BW
998;m;18-23;DE;BW
933;m;18-23;DE;SH
934;m;18-23;DE;SH
998;m;18-23;DE;SH
933;m;18-23;DE;NI
934;m;18-23;DE;NI
937;m;18-23;DE;NI
939;m;18-23;DE;NI
941;m;18-23;DE;NI
933;w;18-23;DE;ST
934;w;18-23;DE;ST
936;w;18-23;DE;ST
989;w;18-23;DE;ST
998;w;18-23;DE;ST
933;m;18-23;DE;BE
934;m;18-23;DE;BE
937;m;18-23;DE;BE
987;m;18-23;DE;BE
998;m;18-23;DE;BE
933;w;24-29;DE;NW
939;w;24-29;DE;NW
941;w;24-29;DE;NW
933;m;18-23;other;other
941;m;18-23;other;other
989;m;18-23;other;other
933;m;18-23;DE;BB
934;m;18-23;DE;BB
987;m;18-23;DE;BB
989;m;18-23;DE;BB
998;m;18-23;DE;BB
933;m;24-29;DE;BW
934;m;24-29;DE;BW
941;m;24-29;DE;BW
989;m;24-29;DE;BW
998;m;24-29;DE;BW
933;m;30-38;DE;MV
934;m;30-38;DE;MV
937;m;30-38;DE;MV
941;m;30-38;DE;MV
987;m;30-38;DE;MV
989;m;30-38;DE;MV
998;m;30-38;DE;MV
933;m;18-23;DE;SN
934;m;18-23;DE;SN
937;m;18-23;DE;SN
939;m;18-23;DE;SN
941;m;18-23;DE;SN
987;m;18-23;DE;SN
989;m;18-23;DE;SN
998;m;18-23;DE;SN
933;m;24-29;DE;NW
934;m;24-29;DE;NW
937;m;24-29;DE;NW
941;m;24-29;DE;NW
989;m;24-29;DE;NW
934;m;24-29;DE;BE
941;m;24-29;DE;BE
989;m;24-29;DE;BE
933;m;18-23;DE;NI
934;m;18-23;DE;NI
937;m;18-23;DE;NI
941;m;18-23;DE;NI
933;m;18-23;DE;HE
934;m;18-23;DE;HE
937;m;18-23;DE;HE
941;m;18-23;DE;HE
998;m;18-23;DE;HE
933;m;18-23;DE;NW
934;m;18-23;DE;NW
937;m;18-23;DE;NW
941;m;18-23;DE;NW
987;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;24-29;DE;NW
934;m;24-29;DE;NW
937;m;24-29;DE;NW
933;m;24-29;DE;HE
934;m;24-29;DE;HE
937;m;24-29;DE;HE
987;m;24-29;DE;HE
989;m;24-29;DE;HE
998;m;24-29;DE;HE
933;m;18-23;DE;NI
934;m;18-23;DE;NI
987;m;18-23;DE;NI
998;m;18-23;DE;NI
933;m;30-38;DE;NW
934;m;30-38;DE;NW
941;m;30-38;DE;NW
987;m;30-38;DE;NW
989;m;30-38;DE;NW
998;m;30-38;DE;NW
934;m;18-23;DE;BY
937;m;18-23;DE;BY
941;m;18-23;DE;BY
987;m;18-23;DE;BY
989;m;18-23;DE;BY
998;m;18-23;DE;BY
933;m;18-23;DE;NI
934;m;18-23;DE;NI
936;m;18-23;DE;NI
937;m;18-23;DE;NI
939;m;18-23;DE;NI
941;m;18-23;DE;NI
987;m;18-23;DE;NI
989;m;18-23;DE;NI
998;m;18-23;DE;NI
933;m;18-23;DE;BW
934;m;18-23;DE;BW
941;m;18-23;DE;BW
989;m;18-23;DE;BW
933;m;24-29;DE;HE
934;m;24-29;DE;HE
937;m;24-29;DE;HE
987;m;24-29;DE;HE
989;m;24-29;DE;HE
998;m;24-29;DE;HE
933;m;18-23;DE;NW
934;m;18-23;DE;NW
936;m;18-23;DE;NW
937;m;18-23;DE;NW
987;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
937;m;24-29;DE;BW
987;m;24-29;DE;BW
989;m;24-29;DE;BW
998;m;24-29;DE;BW
933;m;30-38;DE;BW
934;m;30-38;DE;BW
937;m;30-38;DE;BW
987;m;30-38;DE;BW
989;m;30-38;DE;BW
998;m;30-38;DE;BW
937;m;24-29;DE;SN
941;m;24-29;DE;SN
989;m;24-29;DE;SN
933;m;24-29;DE;NI
934;m;24-29;DE;NI
937;m;24-29;DE;NI
989;m;24-29;DE;NI
998;m;24-29;DE;NI
933;m;18-23;DE;NW
934;m;18-23;DE;NW
936;m;18-23;DE;NW
937;m;18-23;DE;NW
941;m;18-23;DE;NW
987;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;18-23;DE;HH
934;m;18-23;DE;HH
937;m;18-23;DE;HH
987;m;18-23;DE;HH
933;m;18-23;DE;NI
934;m;18-23;DE;NI
936;m;18-23;DE;NI
937;m;18-23;DE;NI
939;m;18-23;DE;NI
941;m;18-23;DE;NI
989;m;18-23;DE;NI
933;m;18-23;DE;BY
934;m;18-23;DE;BY
939;m;18-23;DE;BY
933;m;18-23;DE;BW
937;m;18-23;DE;BW
939;m;18-23;DE;BW
941;m;18-23;DE;BW
989;m;18-23;DE;BW
998;m;18-23;DE;BW
933;m;18-23;DE;NW
934;m;18-23;DE;NW
937;m;18-23;DE;NW
987;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;24-29;DE;SL
934;m;24-29;DE;SL
937;m;24-29;DE;SL
939;m;24-29;DE;SL
941;m;24-29;DE;SL
987;m;24-29;DE;SL
989;m;24-29;DE;SL
998;m;24-29;DE;SL
933;m;18-23;DE;BY
934;m;18-23;DE;BY
941;m;18-23;DE;BY
989;m;18-23;DE;BY
933;m;24-29;DE;SN
934;m;24-29;DE;SN
937;m;24-29;DE;SN
939;m;24-29;DE;SN
987;m;24-29;DE;SN
989;m;24-29;DE;SN
998;m;24-29;DE;SN
936;m;24-29;AT;OÖ
933;m;18-23;DE;NW
934;m;18-23;DE;NW
937;m;18-23;DE;NW
939;m;18-23;DE;NW
989;m;18-23;DE;NW
998;m;18-23;DE;NW
933;m;18-23;DE;SN
937;m;18-23;DE;SN
941;m;18-23;DE;SN
987;m;18-23;DE;SN
989;m;18-23;DE;SN
933;m;<18;DE;NW
937;m;<18;DE;NW
939;m;<18;DE;NW
941;m;<18;DE;NW
987;m;<18;DE;NW
989;m;<18;DE;NW
933;m;18-23;AT;SBG
934;m;18-23;AT;SBG
