answerid;gender;age;country;region
958;m;<18;DE;BW
958;m;18-23;DE;HE
957;m;18-23;DE;NI
957;m;18-23;DE;HE
958;m;24-29;DE;NW
956;m;18-23;DE;NI
956;m;24-29;other;other
956;m;18-23;DE;BY
958;m;18-23;DE;NW
954;m;24-29;DE;BB
957;m;18-23;DE;BW
957;m;18-23;DE;SH
956;m;24-29;DE;SH
957;m;24-29;DE;NW
954;w;18-23;DE;BE
954;m;18-23;DE;HB
958;m;18-23;DE;NW
957;m;24-29;DE;BW
958;m;18-23;DE;HE
957;m;24-29;DE;NW
958;m;18-23;DE;BW
956;m;18-23;DE;BB
957;m;18-23;DE;NW
957;m;18-23;DE;SL
957;m;18-23;DE;BW
958;m;18-23;DE;NI
957;m;18-23;DE;RP
957;m;18-23;DE;ST
958;m;18-23;DE;BW
958;m;18-23;DE;NI
954;m;18-23;DE;BE
956;m;18-23;DE;SH
957;m;18-23;DE;SH
958;m;18-23;DE;RP
954;m;24-29;DE;SH
957;m;18-23;DE;BW
958;m;18-23;DE;SH
954;m;18-23;DE;NI
957;w;18-23;DE;ST
957;m;18-23;DE;BE
954;w;24-29;DE;NW
954;m;18-23;other;other
957;m;18-23;DE;BB
958;m;24-29;DE;BW
957;m;30-38;DE;MV
957;m;18-23;DE;SN
956;m;24-29;DE;NW
954;m;24-29;DE;BE
957;m;18-23;DE;NI
954;m;18-23;DE;HE
958;m;18-23;DE;NW
958;m;24-29;DE;NW
956;m;24-29;DE;HE
954;m;18-23;DE;NI
954;m;30-38;DE;NW
956;m;18-23;DE;BY
958;m;18-23;DE;NI
954;m;18-23;DE;BW
956;m;24-29;DE;HE
957;m;18-23;DE;NW
954;m;24-29;DE;BW
957;m;30-38;DE;BW
954;m;24-29;DE;SN
958;m;24-29;DE;NI
957;m;18-23;DE;NW
957;m;18-23;DE;BE
957;m;18-23;DE;HH
957;m;18-23;DE;NI
956;m;18-23;DE;BY
957;m;18-23;DE;BW
957;m;18-23;DE;NW
956;m;24-29;DE;SL
958;m;18-23;DE;BY
958;m;24-29;DE;SN
957;m;24-29;AT;OÖ
957;m;18-23;DE;NW
954;m;18-23;DE;SN
957;m;<18;DE;NW
954;m;18-23;AT;SBG
958;m;18-23;DE;NW
956;m;18-23;DE;BW
954;m;18-23;DE;NI
954;m;30-38;DE;SN
957;m;18-23;AT;SBG
957;m;18-23;DE;NW
954;m;24-29;DE;NI
