answerid;gender;age;country;region
999;m;<18;DE;BW
943;m;18-23;DE;NI
943;m;18-23;DE;HE
999;m;24-29;DE;NW
943;m;18-23;DE;NI
943;m;24-29;other;other
943;m;18-23;DE;BY
943;m;18-23;DE;NW
943;m;24-29;DE;BB
943;m;18-23;DE;BW
999;m;18-23;DE;SH
943;m;24-29;DE;SH
999;m;24-29;DE;NW
943;w;18-23;DE;BE
943;m;18-23;DE;HB
943;m;18-23;DE;NW
943;m;24-29;DE;BW
943;m;18-23;DE;HE
943;m;24-29;DE;NW
999;m;18-23;DE;BW
943;m;18-23;DE;BB
943;m;18-23;DE;NW
943;m;18-23;DE;SL
943;m;18-23;DE;BW
999;m;18-23;DE;NI
999;m;18-23;DE;RP
999;m;18-23;DE;ST
999;m;18-23;DE;NI
943;m;18-23;DE;BE
999;m;18-23;DE;SH
943;m;18-23;DE;SH
943;m;18-23;DE;RP
943;m;24-29;DE;SH
999;m;18-23;DE;BW
999;m;18-23;DE;SH
999;m;18-23;DE;NI
943;w;18-23;DE;ST
999;m;18-23;DE;BE
999;w;24-29;DE;NW
943;m;18-23;other;other
943;m;18-23;DE;BB
943;m;24-29;DE;BW
999;m;30-38;DE;MV
999;m;18-23;DE;SN
999;m;24-29;DE;NW
943;m;18-23;DE;NI
943;m;18-23;DE;HE
943;m;18-23;DE;NW
943;m;24-29;DE;NW
943;m;24-29;DE;HE
999;m;18-23;DE;NI
943;m;30-38;DE;NW
943;m;18-23;DE;BY
943;m;18-23;DE;NI
943;m;18-23;DE;BW
943;m;24-29;DE;HE
999;m;18-23;DE;NW
943;m;24-29;DE;BW
943;m;24-29;DE;SN
943;m;24-29;DE;NI
943;m;18-23;DE;NW
943;m;18-23;DE;HH
943;m;18-23;DE;NI
943;m;18-23;DE;BY
943;m;18-23;DE;BW
943;m;18-23;DE;NW
943;m;24-29;DE;SL
943;m;18-23;DE;BY
999;m;24-29;DE;SN
943;m;24-29;AT;OÖ
999;m;18-23;DE;NW
943;m;18-23;DE;SN
943;m;<18;DE;NW
943;m;18-23;AT;SBG
943;m;18-23;DE;NW
943;m;18-23;DE;BW
943;m;18-23;DE;NI
999;m;30-38;DE;SN
943;m;18-23;AT;SBG
999;m;24-29;DE;NI
999;m;30-38;DE;SH
943;w;24-29;DE;BW
943;m;18-23;DE;NI
943;m;18-23;DE;BW
943;m;30-38;CH;ZH
999;m;18-23;DE;BW
999;m;18-23;DE;RP
943;m;18-23;DE;NI
943;m;18-23;DE;HE
999;m;30-38;DE;NW
943;m;24-29;DE;HB
999;m;18-23;DE;SH
999;m;24-29;DE;NI
999;m;24-29;DE;HE
999;m;30-38;DE;BW
943;m;18-23;DE;SN
999;m;18-23;DE;NW
943;m;18-23;DE;TH
943;m;30-38;DE;RP
943;m;24-29;DE;NW
999;m;18-23;DE;NW
943;w;18-23;DE;NI
943;m;49-55;DE;BW
943;m;18-23;DE;NI
999;m;30-38;DE;BY
943;m;24-29;DE;NW
999;m;18-23;DE;NW
943;m;18-23;DE;SN
943;m;24-29;DE;HE
943;m;18-23;DE;HH
999;m;24-29;DE;NI
999;m;24-29;DE;HE
943;m;49-55;DE;BY
999;m;18-23;DE;NW
943;m;18-23;DE;HE
943;m;24-29;DE;NW
943;m;24-29;DE;HE
943;m;24-29;DE;NI
999;w;<18;DE;NI
943;m;24-29;DE;HE
999;m;18-23;DE;BE
943;m;24-29;DE;BW
999;m;18-23;AT;W
943;m;18-23;DE;SL
999;m;18-23;DE;HE
943;m;18-23;DE;BY
943;m;24-29;DE;BE
943;m;24-29;other;other
999;m;24-29;DE;SN
943;m;18-23;DE;NW
943;m;24-29;DE;BW
943;m;18-23;DE;BY
943;m;18-23;DE;HB
943;m;18-23;DE;RP
999;m;18-23;DE;ST
943;m;24-29;DE;SH
943;m;18-23;DE;HB
943;m;18-23;DE;BW
943;w;24-29;DE;SN
